id,name,locationTitle,busStop,status,title,description
01H3HFTJ62Q5ENCGGFXZZDW2GX,Les Cayes Airport,Les Cayes,Florida,true,Cummerata-Satterfield,Remov ant segmnt les NOS
01H3HFTJ76235X64VVRT6VQTQE,Jabalpur Airport,,Florida,false,Lakin Inc,Oth metacarp/carp incis
01H3HFTJ78SG45Y5Z4P3GTYQJR,Sócrates Rezende Airport,Canavieiras,Florida,false,"Harvey, Jakubowski and Cruickshank",Vesicostomy
01H3HFTJ7A3TJW674TXB13Q1W9,Mount Etjo Airport,Mount Etjo Safari Lodge,Florida,false,Jast Group,Manual muscle funct test
01H3HFTJ7BHT60DKQEBHVK8SHA,Carson Airport,Carson City,Florida,true,Bode LLC,Replace small bowel tube
01H3HFTJ7D9Z2J7TRKZ8HZFTBV,Cataratas International Airport,Foz Do Iguaçu,Florida,true,Bechtelar-McGlynn,Sm bowel exteriorization
01H3HFTJ7ET5HJ9Y6WHNVFRT6R,Mahshahr Airport,,Florida,true,Osinski-Altenwerth,Ins inflate penis prosth
01H3HFTJ7G2P8GXZW4G950P7P9,Muir Army Air Field (Fort Indiantown Gap) Airport,Fort Indiantown Gap(Annville),Florida,false,Monahan LLC,Oth remove rem ova/tube
01H3HFTJ7H1ETZ6MM94H5K6M11,Cartwright Airport,Cartwright,Florida,false,Kulas and Sons,Mouth repair NEC
01H3HFTJ7KAF78N9TZA58VQCGA,Sunan Shuofang International Airport,Wuxi,Florida,true,Kessler Group,Suture cervical lacerat
01H3HFTJ7NPNBSABZVC277NN6V,Gyumri Shirak Airport,Gyumri,Florida,true,O'Conner-Mitchell,Open sigmoidectomy NEC
01H3HFTJ7PE2AMMYVCM686BMTR,Etadunna Airport,Etadunna,Florida,false,Mills and Sons,Reopen thyroid field wnd
01H3HFTJ7RE5S8MCPAYKH3D9BZ,Rzhevka Airport,St. Petersburg,Florida,false,"Dickinson, Krajcik and McKenzie",Nasolac duct intubat
01H3HFTJ7T7AFJXHD17H1MSQ7S,Front Royal Warren County Airport,Front Royal,Florida,true,Kovacek-Volkman,Rem of cor art obstr NEC
01H3HFTJ7VKTT0RHTH4MN8Z55T,Makini Airport,Makini,Florida,true,Leannon and Sons,Closed mitral valvotomy
